id,object_id,school,type_of_school,region,province,legislative,division,municipality,district,barangay,total_enrollees,total_instructors,color_code,gps_source,count,school_type,color_zone,annual_per_capita_poverty_threshold_2018,poverty_incidence_among_families,population_as_of_may_2020,unemployment_rate_per_region
130039,4546,GODOFREDO B. CALABROSO ES (CABARUYAN ES),SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,LIBUNGAN,LIBUNGAN WEST,CABARUYAN,744,17,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130040,4547,CABPANGI ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,LIBUNGAN,LIBUNGAN WEST,CABPANGI,383,10,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130037,4548,CORNELIO V. COCAL ES,MOTHER SCHOOL,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,LIBUNGAN,LIBUNGAN WEST,BAGUER,263,8,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130042,4549,WENDELIN EDUARTE ES (GUMAGA ES),SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,LIBUNGAN,LIBUNGAN WEST,GUMAGA,296,7,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130043,4550,LOPE T. QUIAL SR. CES (LIBUNGAN CES),SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,LIBUNGAN,LIBUNGAN WEST,POBLACION,1020,33,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130033,4551,PIARRO ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,LIBUNGAN,LIBUNGAN EAST,MONTAY,189,6,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130034,4552,SINAPANGAN ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,LIBUNGAN,LIBUNGAN EAST,SINAPANGAN,246,8,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130045,4553,SINAWINGAN ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,LIBUNGAN,LIBUNGAN WEST,SINAWINGAN,310,13,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130046,4554,ULAMIAN ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,LIBUNGAN,LIBUNGAN WEST,ULAMIAN,261,8,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130264,4555,BULUAN ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN NORTH,BULUAN,122,6,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130266,4556,KIMARAYAG ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN NORTH,KIMARAYAG,179,10,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130268,4557,LIMATONG ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN NORTH,KIMARAYAG,156,4,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130274,4558,PANAY ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN NORTH,NEW PANAY,102,4,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130275,4559,PATOT ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN NORTH,PATOT,309,9,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130277,4560,PRESBITERO CES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN NORTH,PERSBITERO,467,18,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130278,4561,RENIBON ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN NORTH,RENIBON,170,4,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130280,4562,TABARANGAO PS,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN NORTH,MIDPAPAN II,35,2,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130281,4563,UPPER BALOGO ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN NORTH,ANICK,125,4,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130272,4564,NAGRET ES (NEW IGBARAS),SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN NORTH,NEW IGBARAS,129,5,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130286,4565,CABPANGI ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN SOUTH,CABPANGI,248,2,RED,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130287,4566,CAPAYURAN ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN SOUTH,CAPAYURAN,288,11,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130301,4567,UPPER BAGUER ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN SOUTH,UPPER BAGUER,367,10,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130293,4568,MANUANGAN ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN SOUTH,SOUTH MANUANGAN,290,16,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130270,4569,MIDPAPAN ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN NORTH,MIDPAPAN I,173,6,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130269,4570,GALLEGO ES (MALU-AO ES),SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN NORTH,MALUAO,165,6,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130273,4571,NEW CULASI ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN NORTH,NEW CULASI,192,6,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130276,4572,PAYONG PAYONG ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN NORTH,PAYONGPAYONG,143,6,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130279,4573,ROGONAN ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN NORTH,NEW PANAY,86,3,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130283,4574,BALACAYON PS,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN SOUTH,BALACAYON,68,2,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130284,4575,BANUCAGON ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN SOUTH,BANUCAGON,177,5,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130285,4576,BURICAIN ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN SOUTH,BURICAIN,242,4,RED,SEDIP,1,1,HOT COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
