id,object_id,school,type_of_school,region,province,legislative,division,municipality,district,barangay,total_enrollees,total_instructors,color_code,gps_source,count,school_type,color_zone,annual_per_capita_poverty_threshold_2018,poverty_incidence_among_families,population_as_of_may_2020,unemployment_rate_per_region
226502,10,CAA ES ANNEX,ANNEX OR EXTENSION SCHOOLS,NCR,NCR FOURTH DISTRICT,LONE,LAS PINAS CITY,CITY OF LAS PINAS,LAS PINAS CITY I,CAA,1587,14,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
136852,12,ACACIA ES,SCHOOL WITH NO ANNEXES,NCR,NCR THIRD DISTRICT,LONE,MALABON CITY,CITY OF MALABON,MALABON DISTRICT V,ACACIA,2681,22,RED,GPS PINNING (2012),1,1,COOL COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
136838,13,TANONG ES I,SCHOOL WITH NO ANNEXES,NCR,NCR THIRD DISTRICT,LONE,MALABON CITY,CITY OF MALABON,MALABON DISTRICT II,TAÑONG,1223,13,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
136850,14,TINAJEROS ES,SCHOOL WITH NO ANNEXES,NCR,NCR THIRD DISTRICT,LONE,MALABON CITY,CITY OF MALABON,MALABON DISTRICT IV,TINAJEROS,3347,30,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
136666,15,EULOGIO RODRIGUEZ INTEGRATED SCHOOL,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,LONE,MANDALUYONG CITY,CITY OF MANDALUYONG,MANDALUYONG CITY DISTRICT II,HAGDANG BATO ITAAS,2555,39,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
136668,16,ILAYA BARANGKA INTEGRATED SCHOOL,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,LONE,MANDALUYONG CITY,CITY OF MANDALUYONG,MANDALUYONG CITY DISTRICT II,BARANGKA ILAYA,1391,33,BLUE,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
136442,19,R. ALMARIO ES - ISLA PUTING BATO ES,ANNEX OR EXTENSION SCHOOLS,NCR,"MANILA, NCR, FIRST DISTRICT",1ST,MANILA,TONDO,TONDO XIII,PUROK ,586,7,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,1.933410716,1846513,11.65728178
222001,20,R. ALMARIO ES - PAROLA ANNEX,ANNEX OR EXTENSION SCHOOLS,NCR,"MANILA, NCR, FIRST DISTRICT",1ST,MANILA,TONDO,TONDO XIII,MICT COMPOUND,600,6,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,1.933410716,1846513,11.65728178
136466,22,V. E. FUGOSO MEMORIAL SCHOOL,SCHOOL WITH NO ANNEXES,NCR,"MANILA, NCR, FIRST DISTRICT",4TH,MANILA,SAMPALOC,SAMPALOC V,PARANG,924,27,BLUE,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.933410716,1846513,11.65728178
136681,23,FORTUNE ES,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,2ND,MARIKINA CITY,CITY OF MARIKINA,MARIKINA CITY DISTRICT II,FORTUNE,3712,35,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
136673,24,KALUMPANG ES,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,1ST,MARIKINA CITY,CITY OF MARIKINA,MARIKINA CITY DISTRICT I,KALUMPANG,1264,43,BLUE,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
136678,25,SAN ROQUE ES,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,1ST,MARIKINA CITY,CITY OF MARIKINA,MARIKINA CITY DISTRICT I,SAN ROQUE,1550,43,BLUE,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
136687,26,STO. NINO ES,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,1ST,MARIKINA CITY,CITY OF MARIKINA,MARIKINA CITY DISTRICT I,STO NIÑO,3308,48,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
136912,27,CUPANG ES,MOTHER SCHOOL,NCR,NCR FOURTH DISTRICT,LONE,MUNTINLUPA CITY,CITY OF MUNTINLUPA,MUNTINLUPA CITY DISTRICT II,CUPANG,2944,36,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
228501,28,ITAAS ELEMENTARY SCHOOL NBP ANNEX,ANNEX OR EXTENSION SCHOOLS,NCR,NCR FOURTH DISTRICT,LONE,MUNTINLUPA CITY,CITY OF MUNTINLUPA,MUNTINLUPA CITY DISTRICT I,POBLACION,5245,48,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
136907,29,VICTORIA HOMES ES,SCHOOL WITH NO ANNEXES,NCR,NCR FOURTH DISTRICT,LONE,MUNTINLUPA CITY,CITY OF MUNTINLUPA,MUNTINLUPA CITY DISTRICT I,TUNASAN,1550,24,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
136863,30,NORTH BAY BOULEVARD NORTH ELEMENTARY SCHOOL,SCHOOL WITH NO ANNEXES,NCR,NCR THIRD DISTRICT,LONE,NAVOTAS,CITY OF NAVOTAS,NAVOTAS DISTRICT I,NORTH BAY BLVD NORTH,2100,18,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
226001,31,SUN VALLEY ES,SCHOOL WITH NO ANNEXES,NCR,NCR FOURTH DISTRICT,2ND,PARANAQUE CITY,CITY OF PARANAQUE,PARANAQUE CITY DISTRICT II,SUN VALLEY,2945,24,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
225501,32,MAYBUNGA ELEMENTARY SCHOOL ANNEX,ANNEX OR EXTENSION SCHOOLS,NCR,NCR SECOND DISTRICT,LONE,PASIG CITY,CITY OF PASIG,PASIG CITY DISTRICT V,MAYBUNGA,1124,18,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
136522,34,LEOPOLDO B. SANTOS ES,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,2ND,QUEZON CITY,QUEZON CITY,SCHOOL DISTRICT VIII,BAESA,650,9,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
136547,35,PAYATAS A ES,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,2ND,QUEZON CITY,QUEZON CITY,SCHOOL DISTRICT XI,PAYATAS A,6175,62,RED,GPS PINNING (2012),1,1,COOL COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
136548,36,PAYATAS B ES,MOTHER SCHOOL,NCR,NCR SECOND DISTRICT,2ND,QUEZON CITY,QUEZON CITY,SCHOOL DISTRICT XI,PAYATAS,4714,20,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
136550,37,PAYATAS C ES,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,2ND,QUEZON CITY,QUEZON CITY,SCHOOL DISTRICT XI,PAYATAS,2851,24,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
136881,38,BAGONG TANYAG ELEMENTARY SCHOOL - ANNEX A,ANNEX OR EXTENSION SCHOOLS,NCR,NCR FOURTH DISTRICT,2ND,TAGUIG,TAGUIG CITY,TAGUIG DISTRICT II,SOUTH DAANGHARI,1329,2,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
136882,39,BAGONG TANYAG ES - ANNEX B,ANNEX OR EXTENSION SCHOOLS,NCR,NCR FOURTH DISTRICT,2ND,TAGUIG,TAGUIG CITY,TAGUIG DISTRICT II,SOUTH DAANGHARI,1394,9,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
136894,40,CAPT. H. FRANCISCO ES ANNEX,ANNEX OR EXTENSION SCHOOLS,NCR,NCR FOURTH DISTRICT,1ST,TAGUIG,PATEROS,PATEROS,STA ANA,442,6,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
136878,41,TIPAS ELEMENTARY SCHOOL - ANNEX,ANNEX OR EXTENSION SCHOOLS,NCR,NCR FOURTH DISTRICT,1ST,TAGUIG,TAGUIG CITY,TAGUIG DISTRICT I,CALZADA,1296,10,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
227003,42,PUNTURIN I ES,MOTHER SCHOOL,NCR,NCR THIRD DISTRICT,1ST,VALENZUELA CITY,CITY OF VALENZUELA,VALENZUELA CITY CENTRAL DISTRICT,PUNTURIN,1061,10,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
227002,43,SANTIAGO A. DE GUZMAN ES (GEN. T. DE LEON ES- TANADA ANNEX),ANNEX OR EXTENSION SCHOOLS,NCR,NCR THIRD DISTRICT,2ND,VALENZUELA CITY,CITY OF VALENZUELA,VALENZUELA CITY EAST DISTRICT,GEN T DE LEON,1204,21,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
319709,44,BAGUMBONG HIGH SCHOOL ANNEX,ANNEX OR EXTENSION SCHOOLS,NCR,NCR THIRD DISTRICT,1ST,CALOOCAN CITY,KALOOKAN CITY,AROMAR AROMAHANMARULAS,BARANGAY ,696,12,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
319707,46,URDUJA BUSINESS HIGH SCHOOL,SCHOOL WITH NO ANNEXES,NCR,NCR THIRD DISTRICT,1ST,CALOOCAN CITY,KALOOKAN CITY,AROMAR AROMAHANMARULAS,BARANGAY ,1011,13,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
320302,47,CAA NHS ANNEX,ANNEX OR EXTENSION SCHOOLS,NCR,NCR FOURTH DISTRICT,LONE,LAS PINAS CITY,CITY OF LAS PINAS,LAS PINAS CITY I,CAA  BF INTL VILLAGE,3015,25,RED,GPS PINNING (2012),1,0,COOL COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
305431,48,CIVIL AERONAUTICS ADMINISTRATION (CAA) NHS,MOTHER SCHOOL,NCR,NCR FOURTH DISTRICT,LONE,LAS PINAS CITY,CITY OF LAS PINAS,LAS PINAS CITY I,BF INTERNATIONAL VILLAGE,3380,18,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
320303,49,LAS PINAS NHS - GATCHALIAN ANNEX,ANNEX OR EXTENSION SCHOOLS,NCR,NCR FOURTH DISTRICT,LONE,LAS PINAS CITY,CITY OF LAS PINAS,LAS PINAS CITY I,MANUYO DOS,954,5,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
320304,50,LAS PINAS SCIENCE HS,SCHOOL WITH NO ANNEXES,NCR,NCR FOURTH DISTRICT,LONE,LAS PINAS CITY,CITY OF LAS PINAS,LAS PINAS CITY II,TALON DOS,274,9,BLUE,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
320003,52,FORT BONIFACIO HS - TIBAGAN HS ANNEX,ANNEX OR EXTENSION SCHOOLS,NCR,NCR FOURTH DISTRICT,2ND,MAKATI CITY,CITY OF MAKATI,MAKATI CITY DISTRICT II,TIBAGAN,1311,9,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
320505,53,CATMON IS,SCHOOL WITH NO ANNEXES,NCR,NCR THIRD DISTRICT,LONE,MALABON CITY,CITY OF MALABON,MALABON DISTRICT V,CATMON,422,0,BLACK,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
320506,54,COL. RAMON CAMUS IS,SCHOOL WITH NO ANNEXES,NCR,NCR THIRD DISTRICT,LONE,MALABON CITY,CITY OF MALABON,MALABON DISTRICT III,SAN AGUSTIN,312,0,BLACK,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
305447,55,MALABON NHS,MOTHER SCHOOL,NCR,NCR THIRD DISTRICT,LONE,MALABON CITY,CITY OF MALABON,MALABON DISTRICT I,HULONG DUHAT,5454,54,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
320502,56,MALABON NHS - CONCEPCION VOC-TECH ANNEX,ANNEX OR EXTENSION SCHOOLS,NCR,NCR THIRD DISTRICT,LONE,MALABON CITY,CITY OF MALABON,MALABON DISTRICT III,CONCEPCION,573,10,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
320507,57,TANONG IS,SCHOOL WITH NO ANNEXES,NCR,NCR THIRD DISTRICT,LONE,MALABON CITY,CITY OF MALABON,MALABON DISTRICT II,TAÑONG,356,0,BLACK,GPS PINNING (2012),1,1,COOL COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
305448,58,TANONG NHS,SCHOOL WITH NO ANNEXES,NCR,NCR THIRD DISTRICT,LONE,MALABON CITY,CITY OF MALABON,MALABON DISTRICT II,TAÑONG,1213,8,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
305452,59,TINAJEROS NHS,MOTHER SCHOOL,NCR,NCR THIRD DISTRICT,LONE,MALABON CITY,CITY OF MALABON,MALABON DISTRICT IV,TINAJEROS,3194,29,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
320504,60,TINAJEROS NHS - ACACIA ANNEX,ANNEX OR EXTENSION SCHOOLS,NCR,NCR THIRD DISTRICT,LONE,MALABON CITY,CITY OF MALABON,MALABON DISTRICT V,ACACIA,1244,9,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
319803,61,EULOGIO RODRIGUEZ INTEG. SCH.,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,LONE,MANDALUYONG CITY,CITY OF MANDALUYONG,MANDALUYONG CITY DISTRICT I,HAGDANG BATO,1777,17,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
319805,62,ILAYA BARANGKA INTEGRATED SCHOOL,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,LONE,MANDALUYONG CITY,CITY OF MANDALUYONG,MANDALUYONG CITY DISTRICT I,BARANGKA ILAYA,351,3,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
305308,64,VALERIANO E. FUGOSO MEMORIAL HS,SCHOOL WITH NO ANNEXES,NCR,"MANILA, NCR, FIRST DISTRICT",4TH,MANILA,SAMPALOC,TONDO I,PARANG,592,27,BLUE,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.933410716,1846513,11.65728178
319903,65,BARANGKA NHS,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,1ST,MARIKINA CITY,CITY OF MARIKINA,MARIKINA CITY DISTRICT I,BARANGKA,514,0,BLACK,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
319902,66,FORTUNE HS,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,2ND,MARIKINA CITY,CITY OF MARIKINA,MARIKINA CITY DISTRICT II,FORTUNE,2276,33,RED,GPS PINNING (2012),1,1,COOL COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
319904,67,KALUMPANG NATIONAL HIGH SCHOOL,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,1ST,MARIKINA CITY,CITY OF MARIKINA,MARIKINA CITY DISTRICT I,KALUMPANG,466,0,BLACK,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
319905,68,SAN ROQUE NHS,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,1ST,MARIKINA CITY,CITY OF MARIKINA,MARIKINA CITY DISTRICT I,SAN ROQUE,524,0,BLACK,GPS PINNING (2012),1,1,COOL COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
319906,69,STO. NINO NATIONAL HIGH SCHOOL,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,LONE,MARIKINA CITY,CITY OF MARIKINA,MARIKINA CITY DISTRICT I,STO NIÑO,863,4,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
320702,70,MUNTINLUPA BUSINESS HIGH SCHOOL - SUCAT ANNEX,ANNEX OR EXTENSION SCHOOLS,NCR,NCR FOURTH DISTRICT,LONE,MUNTINLUPA CITY,CITY OF MUNTINLUPA,MUNTINLUPA CITY DISTRICT II,SUCAT,665,7,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
320701,71,MUNTINLUPA NATIONAL HS - NBP ANNEX,ANNEX OR EXTENSION SCHOOLS,NCR,NCR FOURTH DISTRICT,LONE,MUNTINLUPA CITY,CITY OF MUNTINLUPA,MUNTINLUPA CITY DISTRICT I,POBLACION,2613,13,RED,GPS PINNING (2012),1,0,COOL COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
320204,72,SUN VALLEY NHS,SCHOOL WITH NO ANNEXES,NCR,NCR FOURTH DISTRICT,2ND,PARANAQUE CITY,CITY OF PARANAQUE,PARANAQUE CITY DISTRICT I,SUN VALLEY,1711,33,GOLD,GPS PINNING (2012),1,1,COOL COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
305364,73,PASAY CITY NORTH HS - TRAMO CAMPUS,ANNEX OR EXTENSION SCHOOLS,NCR,NCR FOURTH DISTRICT,LONE,PASAY CITY,PASAY CITY,PASAY CITY NORTH DISTRICT,BRGY ,1358,28,YELLOW,GPS PINNING (2012),1,0,COOL COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
305320,74,BALINGASA HS,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,1ST,QUEZON CITY,QUEZON CITY,SCHOOL DISTRICT I,BALINGASA,1078,27,BLUE,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
319505,75,"JUDGE FELICIANO BELMONTE, SR. HS",SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,2ND,QUEZON CITY,QUEZON CITY,SCHOOL DISTRICT XI,HOLY SPIRIT,4006,24,RED,GPS PINNING (2012),1,1,COOL COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
305462,77,"GEN. RICARDO G. PAPA, SR. MEMORIAL HS ANNEX",ANNEX OR EXTENSION SCHOOLS,NCR,NCR FOURTH DISTRICT,1ST,TAGUIG,TAGUIG CITY,TAGUIG DISTRICT I,USUSAN,1562,14,RED,GPS PINNING (2012),1,0,COOL COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
320606,78,PRES. DIOSDADO MACAPAGAL HS - SIGNAL VNHS ANNEX,ANNEX OR EXTENSION SCHOOLS,NCR,NCR FOURTH DISTRICT,2ND,TAGUIG,TAGUIG CITY,TAGUIG DISTRICT I,BRGY KATUPARAN,2318,27,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
320601,79,TAGUIG SCIENCE HS,SCHOOL WITH NO ANNEXES,NCR,NCR FOURTH DISTRICT,1ST,TAGUIG,TAGUIG CITY,TAGUIG DISTRICT I,HAGONOY,780,5,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
320406,80,CANUMAY EAST NHS,SCHOOL WITH NO ANNEXES,NCR,NCR THIRD DISTRICT,1ST,VALENZUELA CITY,CITY OF VALENZUELA,VALENZUELA CITY CENTRAL DISTRICT,CANUMAY EAST,738,9,RED,GPS PINNING (2012),1,1,COOL COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
305443,82,GEN. T. DEL LEON NHS,SCHOOL WITH NO ANNEXES,NCR,NCR THIRD DISTRICT,2ND,VALENZUELA CITY,CITY OF VALENZUELA,VALENZUELA CITY CENTRAL DISTRICT,GEN T DE LEON,5532,55,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
320407,83,VALENZUELA NHS-WAWANG PULO ANNEX,ANNEX OR EXTENSION SCHOOLS,NCR,NCR THIRD DISTRICT,1ST,VALENZUELA CITY,CITY OF VALENZUELA,VALENZUELA CITY CENTRAL DISTRICT,WAWANGPULO,423,4,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
128507,84,C.M. RECTO ES,SCHOOL WITH NO ANNEXES,REGION XI,COMPOSTELA VALLEY,2ND,COMPOSTELA VALLEY,NABUNTURAN,NABUNTURAN WEST,MAGSAYSAY,268,5,GOLD,GPS UNIT - SMU (2011-12),1,1,COOL COLOR ZONE,25866.62584,18.58691634,767547,9.211837214
128466,85,LINOAN ES,SCHOOL WITH NO ANNEXES,REGION XI,COMPOSTELA VALLEY,1ST,COMPOSTELA VALLEY,MONTEVISTA,MONTEVISTA,LINOAN,427,14,BLUE,GPS UNIT - SMU (2011-12),1,1,HOT COLOR ZONE,25866.62584,18.58691634,767547,9.211837214
304202,86,MONTEVISTA NHS,SCHOOL WITH NO ANNEXES,REGION XI,COMPOSTELA VALLEY,1ST,COMPOSTELA VALLEY,MONTEVISTA,MONTEVISTA,SAN JOSE,1368,26,GOLD,GPS UNIT - SMU (2011-12),1,1,COOL COLOR ZONE,25866.62584,18.58691634,767547,9.211837214
128471,87,MONTEVISTA CES,SCHOOL WITH NO ANNEXES,REGION XI,COMPOSTELA VALLEY,1ST,COMPOSTELA VALLEY,MONTEVISTA,MONTEVISTA,SAN JOSE,1503,37,BLUE,GPS UNIT - SMU (2011-12),1,1,HOT COLOR ZONE,25866.62584,18.58691634,767547,9.211837214
128474,88,NEW VISAYAS ES,SCHOOL WITH NO ANNEXES,REGION XI,COMPOSTELA VALLEY,1ST,COMPOSTELA VALLEY,MONTEVISTA,MONTEVISTA,NEW VISAYAS,460,9,GOLD,GPS UNIT - SMU (2011-12),1,1,COOL COLOR ZONE,25866.62584,18.58691634,767547,9.211837214
128272,89,OSMENA ES,SCHOOL WITH NO ANNEXES,REGION XI,COMPOSTELA VALLEY,1ST,COMPOSTELA VALLEY,COMPOSTELA,COMPOSTELA,OSMEÑA,614,9,RED,GPS UNIT - SMU (2011-12),1,1,HOT COLOR ZONE,25866.62584,18.58691634,767547,9.211837214
128511,90,BANTACAN ES,SCHOOL WITH NO ANNEXES,REGION XI,COMPOSTELA VALLEY,1ST,COMPOSTELA VALLEY,NEW BATAAN,NEW BATAAN,BANTACAN,460,17,BLUE,GPS UNIT - SMU (2011-12),1,1,COOL COLOR ZONE,25866.62584,18.58691634,767547,9.211837214
304177,91,BANTACAN NHS,SCHOOL WITH NO ANNEXES,REGION XI,COMPOSTELA VALLEY,1ST,COMPOSTELA VALLEY,NEW BATAAN,NEW BATAAN,BANTACAN,425,12,BLUE,GPS UNIT - SMU (2011-12),1,1,COOL COLOR ZONE,25866.62584,18.58691634,767547,9.211837214
128528,92,SAN ROQUE ES,SCHOOL WITH NO ANNEXES,REGION XI,COMPOSTELA VALLEY,1ST,COMPOSTELA VALLEY,NEW BATAAN,NEW BATAAN,SAN ROQUE,160,8,BLUE,GPS UNIT - SMU (2011-12),1,1,HOT COLOR ZONE,25866.62584,18.58691634,767547,9.211837214
315814,93,ANDAP NHS,SCHOOL WITH NO ANNEXES,REGION XI,COMPOSTELA VALLEY,1ST,COMPOSTELA VALLEY,NEW BATAAN,NEW BATAAN,ANDAP,264,5,GOLD,GPS UNIT - SMU (2011-12),1,1,HOT COLOR ZONE,25866.62584,18.58691634,767547,9.211837214
128510,94,ANDAP ES,SCHOOL WITH NO ANNEXES,REGION XI,COMPOSTELA VALLEY,1ST,COMPOSTELA VALLEY,NEW BATAAN,NEW BATAAN,ANDAP,441,13,BLUE,GPS UNIT - SMU (2011-12),1,1,HOT COLOR ZONE,25866.62584,18.58691634,767547,9.211837214
304206,95,NEW BATAAN NHS,SCHOOL WITH NO ANNEXES,REGION XI,COMPOSTELA VALLEY,1ST,COMPOSTELA VALLEY,NEW BATAAN,NEW BATAAN,CABINUANGAN,1218,28,BLUE,GPS UNIT - SMU (2011-12),1,1,COOL COLOR ZONE,25866.62584,18.58691634,767547,9.211837214
128514,96,CABINUANGAN CES,SCHOOL WITH NO ANNEXES,REGION XI,COMPOSTELA VALLEY,1ST,COMPOSTELA VALLEY,NEW BATAAN,NEW BATAAN,CABINUANGAN,1735,49,BLUE,GPS UNIT - SMU (2011-12),1,1,HOT COLOR ZONE,25866.62584,18.58691634,767547,9.211837214
128267,97,MANGAYON ES,SCHOOL WITH NO ANNEXES,REGION XI,COMPOSTELA VALLEY,1ST,COMPOSTELA VALLEY,COMPOSTELA,COMPOSTELA,MANGAYON,571,12,YELLOW,GPS UNIT - SMU (2011-12),1,1,HOT COLOR ZONE,25866.62584,18.58691634,767547,9.211837214
304182,98,MANGAYON NHS,SCHOOL WITH NO ANNEXES,REGION XI,COMPOSTELA VALLEY,1ST,COMPOSTELA VALLEY,COMPOSTELA,COMPOSTELA,MANGAYON,337,6,RED,GPS UNIT - SMU (2011-12),1,1,COOL COLOR ZONE,25866.62584,18.58691634,767547,9.211837214
128265,99,LAGAB ES,SCHOOL WITH NO ANNEXES,REGION XI,COMPOSTELA VALLEY,1ST,COMPOSTELA VALLEY,COMPOSTELA,COMPOSTELA,LAGAB,268,6,BLUE,GPS UNIT - SMU (2011-12),1,1,HOT COLOR ZONE,25866.62584,18.58691634,767547,9.211837214
129784,100,PANABO CES,SCHOOL WITH NO ANNEXES,REGION XI,DAVAO DEL NORTE,2ND,PANABO CITY,CITY OF PANABO,PANABO CENTRAL,SAN FRANCISCO,1888,39,YELLOW,GPS UNIT - SMU (2011-12),1,1,COOL COLOR ZONE,27033.51073,10.26187838,1125057,9.211837214
129785,101,RIZAL ES,SCHOOL WITH NO ANNEXES,REGION XI,DAVAO DEL NORTE,2ND,PANABO CITY,CITY OF PANABO,PANABO CENTRAL,SAN FRANCISCO,3341,55,RED,GPS UNIT - SMU (2011-12),1,1,COOL COLOR ZONE,27033.51073,10.26187838,1125057,9.211837214
129783,102,GREDU ES,SCHOOL WITH NO ANNEXES,REGION XI,DAVAO DEL NORTE,2ND,PANABO CITY,CITY OF PANABO,PANABO CENTRAL,GREDU,1471,26,RED,GPS UNIT - SMU (2011-12),1,1,COOL COLOR ZONE,27033.51073,10.26187838,1125057,9.211837214
205504,103,RABAT-ROCAMORA MATI CENTRAL SPED SCH.,SCHOOL WITH NO ANNEXES,REGION XI,DAVAO ORIENTAL,2ND,DAVAO ORIENTAL,CITY OF MATI,MATI CENTRAL,CENTRAL,756,18,BLUE,GPS UNIT - SMU (2011-12),1,1,COOL COLOR ZONE,26346.86268,27.70808956,576343,9.211837214
